,6
lcnClo_q3,0.0954160307498819
lcnClo_q2,0.0460070109418461
ldePer_q1,0.04436871909357489
ldeAre_q2,0.037296163854633135
lcnClo_q1,0.036697899069885874
ltcWRE_q3,0.03170841588608165
linP4W_q2,0.020616550103466646
sddAre_q1,0.019211424193364243
sddAre_q2,0.01832616753798506
ltcWRE_q2,0.016606577953909935
lcdMes_q3,0.015356125218602395
ldeAre_q1,0.012316249173796603
linP4W_q1,0.010846686958420743
sdsAre_q2,0.010596251409078153
stbCeA_q2,0.010558497522230956
ldsCDL_q3,0.010274424249421902
mtdMDi_q1,0.009779883129081453
mtcWNe_q3,0.008962910305036983
lcdMes_q2,0.008677604931400218
sdcLAL_q1,0.00821782130421121
mtdMDi_q2,0.007732272474167276
ltcWRE_q1,0.007464508947213437
ldsAre_q2,0.007189957465729092
sdcAre_q1,0.006785890763866259
population_q2,0.006711725921909185
lseCWA_q1,0.00650055828379043
linWID_q2,0.005987732241741848
ssbCCM_q1,0.005892788070843013
lteWNB_q1,0.005784962223039306
linP4W_q3,0.005729223353240605
linPDE_q2,0.005699853763660501
ldePer_q2,0.005697008721848544
sdsSPW_q3,0.0056283679988119615
linPDE_q3,0.005604696757868684
ssbERI_q1,0.0055166065097595526
sdsSWD_q3,0.005514721263563945
ssbCCo_q2,0.005063981823425944
sdbAre_q1,0.004967954210623941
mtdMDi_q3,0.004905585273884224
sdcLAL_q2,0.00488310204701967
linWID_q1,0.004767954802994096
misCel_q2,0.004694418653929315
stcOri_q3,0.004511966470428404
sssLin_q2,0.004438593035965862
misCel_q1,0.004376667066513309
stcOri_q2,0.004351169344025739
sdbPer_q1,0.004321562435321751
lisCel_q1,0.004281393449981622
sisBpM_q2,0.004275584893687111
stbOri_q2,0.0042467772780615635
